gsis_id,season,games_played,att_mean,att_std,epa_mean,epa_std,epa_per_att_mean,epa_per_att_std,ypa_mean,ypa_std,cmp_pct_mean,td_rate_mean,int_rate_mean,epa_min,epa_max,att_cv,epa_cv,epa_per_att_cv,games_positive_epa,pct_games_positive_epa
00-0026300,2018,4,22.75,4.787135538781691,-3.0585498,11.04085108533655,-0.07446307958937198,0.4630567008006073,7.062511070853462,3.7018607910588166,0.584290458937198,0.036494565217391306,0.04662338969404187,-18.604551,6.4922576,0.2104235401662282,3.609832046984015,6.218607977995833,2.0,0.5
00-0026300,2021,3,28.333333333333332,21.07921567168317,9.129158966666667,9.069762569194229,0.12453825243902439,0.39872595648605785,6.527235772357724,1.9732432127140112,0.6195121951219512,0.04105691056910569,0.016463414634146342,-1.3434381,14.429692,0.7439723178241119,0.9934937711470122,3.2016344269908514,2.0,0.6666666666666666
00-0026300,2022,2,7.5,7.7781745930520225,-1.43070805,0.8412575947890188,-0.28686869807692306,0.18534096321797544,5.346153846153847,0.4895354638983789,0.5192307692307692,0.0,0.0,-2.025567,-0.8358491,1.0370899457402696,0.5880008816536811,0.6460829099181702,0.0,0.0
00-0026498,2018,16,34.6875,8.203403765104662,0.6410269749999999,10.62462264267067,0.042150663053942355,0.3374876861198486,6.8788306410857665,1.7153307451607558,0.6664131742294579,0.03877057235274206,0.01689299727414716,-15.735497,17.518835,0.23649452295797224,16.57437683128806,8.00669934154887,9.0,0.5625
00-0026498,2019,8,36.375,6.254998001598402,8.70106155,5.468231186540138,0.2339461098606005,0.14948237075055373,8.56529670811414,1.3079567159485266,0.644755425035868,0.06357853100589829,0.01806614159891599,0.9877928,16.98674,0.1719587079477224,0.6284556378687078,0.6389607027003977,8.0,1.0
00-0026498,2020,16,33.0,9.13600934033381,3.49043115,8.137765954661537,0.07960631757519272,0.26241003462563695,7.598407094845514,1.2726415207904767,0.645033832967449,0.04700021657001021,0.01780095744309454,-11.072867,17.361822,0.27684876788890334,2.331450071622681,3.2963468556094893,10.0,0.625
00-0026498,2021,21,35.285714285714285,7.079144419651694,7.884874180952382,10.861897521325464,0.2632143474187185,0.32537424533996145,8.446960882003285,1.7749343154917532,0.683930548341238,0.07202983938318416,0.025936035856626866,-20.003672,18.848577,0.2006235260630035,1.3775612992740867,1.236156951666315,16.0,0.7619047619047619
00-0026498,2022,9,33.666666666666664,9.354143466934852,-2.67081633,9.899556329148833,-0.027773449155169588,0.2843138872743786,7.1413324299909675,1.5655485341869888,0.6730876059602346,0.03780970108883388,0.022630241634306672,-16.745453,10.104671,0.2778458455525204,3.7065657484387304,10.236895161487643,5.0,0.5555555555555556
00-0026498,2023,16,34.8125,7.458496273825354,4.60051013375,9.201972862617893,0.12364357735001695,0.2637127175446329,7.875408764528916,1.35392146396351,0.6288605347983935,0.047578861379794744,0.02020572657974101,-8.40479,20.679981,0.21424764879929203,2.0002070629321964,2.132846066060517,10.0,0.625
00-0026544,2018,2,38.0,1.4142135623730951,-2.4135159999999996,6.580494097640997,-0.06033298406098406,0.17092553614009245,6.761954261954262,0.7717901457857326,0.6981981981981982,0.039847539847539845,0.02564102564102564,-7.066628,2.239596,0.03721614637823935,2.726517701826298,2.83303633659695,1.0,0.5
00-0026544,2019,3,21.333333333333332,15.011106998930272,1.5712935000000001,5.871353697743583,-0.2978390722222222,0.7944238905006354,5.483333333333333,2.8637097152702706,0.5722222222222222,0.03333333333333333,0.022222222222222223,-4.849138,6.667335,0.7036456405748566,3.7366371704227013,2.667292389051977,2.0,0.6666666666666666
00-0026544,2020,4,10.75,5.852349955359813,-3.7392404399999997,6.458789190260408,-0.171377031025641,0.43705542157543525,6.502136752136752,2.112576915949272,0.6677350427350428,0.019230769230769232,0.060897435897435896,-12.516651,1.5689687,0.5444046470102152,1.7272997802356909,2.5502566998610456,2.0,0.5
00-0026544,2022,3,4.0,2.6457513110645907,0.4586803000000001,1.5214543854946063,-0.0020993063492063166,0.5761212459124386,4.190476190476191,4.531822477324812,0.5714285714285715,0.047619047619047616,0.0,-1.2977716,1.368227,0.6614378277661477,3.317025792244851,57.61212459124386,2.0,0.6666666666666666
00-0026625,2018,2,1.0,0.0,-1.5009689499999999,1.8871655392143012,-1.5009689499999999,1.8871655392143012,3.5,4.949747468305833,0.5,0.0,0.0,-2.8353965,-0.1665414,0.0,1.257298186757495,1.257298186757495,0.0,0.0
00-0026625,2019,2,32.5,9.192388155425117,-13.047069500000001,6.304542140749041,-0.3895984807692308,0.08379082094628751,5.846153846153847,0.8702852691526742,0.5576923076923077,0.07051282051282051,0.057692307692307696,-17.505054,-8.589085,0.282842712474619,0.48321518795841784,0.21506968092085288,0.0,0.0
00-0026625,2020,1,24.0,,-9.247645,,-0.3853185416666667,,5.416666666666667,,0.625,0.0,0.041666666666666664,-9.247645,-9.247645,,,,0.0,0.0
00-0026625,2021,3,3.6666666666666665,0.5773502691896258,6.959045,1.6428474495689973,1.9538058999999999,0.6526697757663882,21.277777777777775,6.429280531144067,0.8333333333333334,0.1111111111111111,0.0,5.0754886,8.096039,0.15745916432444343,0.2360736925208843,0.3340504682509088,3.0,1.0
00-0026625,2022,1,6.0,,-2.126524,,-0.35442066666666666,,6.166666666666667,,0.8333333333333334,0.0,0.0,-2.126524,-2.126524,,,,0.0,0.0
00-0026625,2023,2,21.0,15.556349186104045,-4.3903858499999995,12.9296527670946,0.02615935562500002,0.6350760398895512,7.115625,4.361964956444514,0.565625,0.0,0.03125,-13.533031,4.7522593,0.7407785326716212,2.944992355761761,24.277205027276,1.0,0.5
00-0026898,2018,2,17.5,4.949747468305833,-15.8437895,10.242612138221407,-1.029304380952381,0.8764233652546606,3.738095238095238,1.4478853138581687,0.5238095238095238,0.0,0.09523809523809523,-23.08641,-8.601169,0.282842712474619,0.6464748940410631,0.851471519477781,0.0,0.0
00-0027114,2023,1,1.0,,2.6709,,2.6709,,18.0,,1.0,0.0,0.0,2.6709,2.6709,,,,1.0,1.0
00-0027150,2018,2,1.0,0.0,1.587602615,2.5571642545497912,1.587602615,2.5571642545497912,21.5,21.920310216782973,1.0,0.0,0.0,-0.22058557,3.3957908,0.0,1.6107080136988758,1.6107080136988758,1.0,0.5
00-0027150,2019,2,1.0,0.0,2.7680332500000002,1.1939231421078345,2.7680332500000002,1.1939231421078345,23.5,12.020815280171307,1.0,0.5,0.0,1.9238021,3.6122644,0.0,0.4313254337200734,0.4313254337200734,2.0,1.0
00-0027150,2020,1,2.0,,3.4443047,,1.72215235,,19.0,,1.0,0.0,0.0,3.4443047,3.4443047,,,,1.0,1.0
00-0027685,2018,1,1.0,,2.5614738,,2.5614738,,28.0,,1.0,1.0,0.0,2.5614738,2.5614738,,,,1.0,1.0
00-0027685,2019,1,1.0,,3.320115,,3.320115,,35.0,,1.0,1.0,0.0,3.320115,3.320115,,,,1.0,1.0
